Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Genero,Nacionalidad,Provincia,Canton,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-04-22,15:00:00 - 17:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Mayor de edad,MUJER,RUMANIA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-05-01,09:00:00 - 11:59:59,VEHICULO,MICROBUS [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-06-16,15:00:00 - 17:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-06-30,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-07-29,15:00:00 - 17:59:59,VEHICULO,CARGA LIVIANA [VEHICULO],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-08-30,21:00:00 - 23:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-09-02,09:00:00 - 11:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-09-07,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-09-24,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Menor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-10-05,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-10-19,18:00:00 - 20:59:59,VEHICULO,CARGA LIVIANA [VEHICULO],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-11-15,18:00:00 - 20:59:59,VEHICULO,CARGA LIVIANA [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-11-22,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
TACHA DE VEHICULO,TACHA DE VEHICULO,2018-10-12,15:00:00 - 17:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
ROBO,CORTA CANDADOS,2018-05-24,12:00:00 - 14:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
ROBO,CORTA CANDADOS,2018-06-13,21:00:00 - 23:59:59,EDIFICACION,HOTEL/MOTEL/PENSION [EDIFICACION],Mayor de edad,HOMBRE,CANADA,ALAJUELA,SAN CARLOS,
ROBO,ESCALAMIENTO,2018-05-04,00:00:00 - 02:59:59,EDIFICACION,TIENDA/BOUTIQUE [EDIFICACION],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
ROBO,ESCALAMIENTO,2018-07-08,09:00:00 - 11:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,MUJER,NICARAGUA,ALAJUELA,SAN CARLOS,
ROBO,FORZADURA,2018-01-07,21:00:00 - 23:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
ROBO,FORZADURA,2018-01-22,00:00:00 - 02:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,
ROBO,FORZADURA,2018-01-30,18:00:00 - 20:59:59,EDIFICACION,TALLER [EDIFICACION],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
